Bowler,TotalWickets
YS Chahal,229
B Kumar,213
SP Narine,212
DJ Bravo,207
R Ashwin,205
JJ Bumrah,203
PP Chawla,201
SL Malinga,188
A Mishra,183
RA Jadeja,179
