Batter,TotalRuns
V Kohli,8671
RG Sharma,7048
S Dhawan,6769
DA Warner,6567
SK Raina,5536
MS Dhoni,5439
KL Rahul,5235
AB de Villiers,5181
AM Rahane,5032
CH Gayle,4997
