ID,BattingTeam,Innings,TotalScore,WicketsLost,WinProbabilityScore
1175357,Sunrisers Hyderabad,1,181,3,93.6
1178398,Chennai Super Kings,2,111,3,51.6
1181766,Sunrisers Hyderabad,1,162,8,57.2
1181766,Delhi Capitals,2,165,8,59.0
1178400,Rajasthan Royals,1,151,7,55.6
1082632,Gujarat Lions,1,208,7,89.8
1082618,Mumbai Indians,2,157,8,54.2
1136586,Kolkata Knight Riders,2,164,9,53.4
1082624,Royal Challengers Bangalore,2,96,9,12.6
1473504,Chennai Super Kings,1,230,5,113.0
1422138,Delhi Capitals,2,205,8,83.0
1473510,Mumbai Indians,1,203,6,91.8
1426283,Royal Challengers Bengaluru,2,206,1,118.6
1422137,Rajasthan Royals,2,189,4,93.4
501224,Deccan Chargers,2,135,8,41.0
1178412,Delhi Capitals,2,166,5,74.6
1175365,Kolkata Knight Riders,2,7,1,-0.8
1359513,Gujarat Titans,2,180,3,93.0
1304083,Lucknow Super Giants,1,168,6,70.8
1304070,Gujarat Titans,1,192,4,95.2
1359493,Sunrisers Hyderabad,1,228,4,116.8
1304094,Punjab Kings,2,145,2,77.0
1304074,Sunrisers Hyderabad,2,152,3,76.2
1304109,Lucknow Super Giants,2,154,8,52.4
1304056,Delhi Capitals,2,157,9,49.2
1178407,Kings XI Punjab,1,182,6,79.2
1178407,Rajasthan Royals,2,170,7,67.0
1175363,Rajasthan Royals,1,198,2,108.8
1082594,Rising Pune Supergiant,1,163,6,67.8
1473483,Delhi Capitals,1,162,8,57.2
1473478,Sunrisers Hyderabad,1,143,8,45.8
1422128,Royal Challengers Bengaluru,1,182,6,79.2
1422128,Kolkata Knight Riders,2,186,3,96.6
1473491,Lucknow Super Giants,2,199,7,84.4
1426273,Sunrisers Hyderabad,1,266,7,124.6
1473510,Punjab Kings,2,207,5,99.2
548332,Rajasthan Royals,1,146,4,67.6
548348,Pune Warriors,2,173,5,78.8
501212,Deccan Chargers,1,165,8,59.0
1178399,Mumbai Indians,2,198,7,83.8
1304107,Sunrisers Hyderabad,2,123,8,33.8
1359540,Punjab Kings,1,187,5,87.2
1370352,Gujarat Titans,1,233,3,124.8
1359526,Rajasthan Royals,1,214,2,118.4
1136584,Chennai Super Kings,2,207,5,99.2
1178426,Mumbai Indians,1,162,5,72.2
1178416,Sunrisers Hyderabad,1,175,3,90.0
1175370,Mumbai Indians,1,170,5,77.0
1136613,Royal Challengers Bangalore,2,134,10,30.4
1175361,Kolkata Knight Riders,1,218,4,110.8
1082618,Rising Pune Supergiant,1,160,6,66.0
1136586,Delhi Daredevils,1,219,4,111.4
1426307,Sunrisers Hyderabad,2,215,6,99.0
1422124,Punjab Kings,1,176,6,75.6
1422124,Royal Challengers Bengaluru,2,178,6,76.8
1426296,Royal Challengers Bengaluru,1,241,7,109.6
1426263,Mumbai Indians,2,199,3,104.4
548352,Chennai Super Kings,1,160,6,66.0
419107,Rajasthan Royals,2,208,7,89.8
548375,Pune Warriors,2,102,8,21.2
548359,Deccan Chargers,2,145,8,47.0
1082606,Mumbai Indians,2,177,4,86.2
1175369,Rajasthan Royals,2,164,3,83.4
1082613,Kolkata Knight Riders,1,187,5,87.2
1304099,Lucknow Super Giants,1,176,7,70.6
1304052,Kolkata Knight Riders,1,128,10,26.8
1304115,Mumbai Indians,2,160,5,71.0
1359501,Punjab Kings,2,150,10,40.0
1359512,Punjab Kings,2,201,10,70.6
1304054,Kolkata Knight Riders,2,141,4,64.6
1370352,Mumbai Indians,2,171,10,52.6
1359515,Punjab Kings,2,201,6,90.6
1136572,Chennai Super Kings,2,193,5,90.8
1175364,Mumbai Indians,1,176,7,70.6
1082625,Gujarat Lions,1,153,9,46.8
1082625,Gujarat Lions,2,6,0,3.6
1136567,Sunrisers Hyderabad,2,151,9,45.6
1082624,Rising Pune Supergiant,1,157,3,79.2
1426261,Sunrisers Hyderabad,1,182,9,64.2
1426294,Delhi Capitals,1,221,8,92.6
1426294,Rajasthan Royals,2,201,8,80.6
1422121,Kolkata Knight Riders,1,208,7,89.8
1426282,Rajasthan Royals,2,199,3,104.4
501224,Mumbai Indians,1,172,4,83.2
548346,Mumbai Indians,2,101,5,35.6
1178412,Kings XI Punjab,1,163,7,62.8
1178428,Delhi Capitals,2,121,5,47.6
1136587,Chennai Super Kings,1,169,5,76.4
1178425,Delhi Capitals,2,99,10,9.4
1082610,Royal Challengers Bangalore,1,213,2,117.8
1082612,Kings XI Punjab,1,198,4,98.8
1304051,Rajasthan Royals,1,210,6,96.0
1304052,Royal Challengers Bangalore,2,132,7,44.2
1359506,Rajasthan Royals,2,182,6,79.2
1304080,Delhi Capitals,2,207,8,84.2
1359481,Gujarat Titans,2,163,4,77.8
1359502,Kolkata Knight Riders,1,127,10,26.2
1359502,Delhi Capitals,2,128,6,46.8
1304089,Royal Challengers Bangalore,1,170,6,72.0
1359531,Gujarat Titans,2,191,8,74.6
1175364,Kings XI Punjab,2,177,2,96.2
1178421,Royal Challengers Bangalore,2,171,7,67.6
1136600,Kings XI Punjab,2,143,7,50.8
1136570,Kolkata Knight Riders,1,138,8,42.8
1473483,Royal Challengers Bengaluru,2,165,4,79.0
1426307,Punjab Kings,1,214,5,103.4
1426309,Sunrisers Hyderabad,1,159,10,45.4
1473504,Gujarat Titans,2,147,10,38.2
1473438,Royal Challengers Bengaluru,2,177,3,91.2
1426288,Sunrisers Hyderabad,1,201,3,105.6
1473455,Punjab Kings,2,155,9,48.0
1426282,Lucknow Super Giants,1,196,5,92.6
548344,Kolkata Knight Riders,1,190,4,94.0
419110,Deccan Chargers,1,190,4,94.0
419110,Chennai Super Kings,2,159,9,50.4
501214,Kolkata Knight Riders,2,85,2,41.0
598060,Mumbai Indians,2,184,4,90.4
1178399,Kings XI Punjab,1,197,4,98.2
1304075,Gujarat Titans,2,170,7,67.0
1304076,Kolkata Knight Riders,2,210,10,76.0
1359493,Kolkata Knight Riders,2,205,7,88.0
1359514,Sunrisers Hyderabad,1,197,6,88.2
1304116,Punjab Kings,2,160,5,71.0
1304065,Kolkata Knight Riders,2,171,10,52.6
1359543,Sunrisers Hyderabad,1,200,5,95.0
1359543,Mumbai Indians,2,201,2,110.6
1359496,Kolkata Knight Riders,1,185,6,81.0
1178426,Sunrisers Hyderabad,2,170,8,62.0
1178421,Delhi Capitals,1,187,5,87.2
1136570,Sunrisers Hyderabad,2,139,5,58.4
1473456,Kolkata Knight Riders,2,234,7,105.4
548348,Deccan Chargers,1,186,4,91.6
419159,Kings XI Punjab,1,192,3,100.2
419117,Deccan Chargers,1,170,8,62.0
1181764,Chennai Super Kings,1,131,4,58.6
1082626,Kings XI Punjab,2,68,0,40.8
1136609,Kolkata Knight Riders,2,145,4,67.0
1082643,Gujarat Lions,1,154,10,42.4
1082643,Sunrisers Hyderabad,2,158,2,84.8
1082613,Gujarat Lions,2,188,6,82.8
1178425,Chennai Super Kings,1,179,4,87.4
1136588,Sunrisers Hyderabad,1,151,7,55.6
1304108,Chennai Super Kings,1,133,5,54.8
1304097,Gujarat Titans,2,172,5,78.2
1304070,Rajasthan Royals,2,155,9,48.0
1304068,Chennai Super Kings,1,216,4,109.6
1304109,Rajasthan Royals,1,178,6,76.8
1304096,Delhi Capitals,1,207,3,109.2
1359525,Gujarat Titans,1,227,2,126.2
1359496,Mumbai Indians,2,186,5,86.6
1136584,Royal Challengers Bangalore,1,205,8,83.0
1136564,Sunrisers Hyderabad,2,127,1,71.2
1178420,Rajasthan Royals,2,161,3,81.6
1082633,Royal Challengers Bangalore,2,119,10,21.4
1178431,Kolkata Knight Riders,1,133,7,44.8
1082597,Kolkata Knight Riders,1,178,7,71.8
1136580,Sunrisers Hyderabad,2,178,6,76.8
1426281,Mumbai Indians,2,247,9,103.2
1473446,Gujarat Titans,1,196,8,77.6
1473438,Kolkata Knight Riders,1,174,8,64.4
1422137,Royal Challengers Bengaluru,1,183,3,94.8
1422121,Sunrisers Hyderabad,2,204,7,87.4
419127,Kolkata Knight Riders,1,183,5,84.8
548324,Rajasthan Royals,1,195,2,107.0
501214,Rajasthan Royals,1,81,10,-1.4
1082637,Kings XI Punjab,1,189,3,98.4
1082650,Rising Pune Supergiant,2,128,6,46.8
1136609,Rajasthan Royals,1,142,10,35.2
1178402,Rajasthan Royals,2,188,6,82.8
1136585,Sunrisers Hyderabad,1,132,6,49.2
1304067,Sunrisers Hyderabad,2,168,3,85.8
1359544,Royal Challengers Bangalore,1,197,5,93.2
1359512,Lucknow Super Giants,1,257,5,129.2
1304116,Sunrisers Hyderabad,1,157,8,54.2
1359508,Sunrisers Hyderabad,2,137,6,52.2
1304081,Gujarat Titans,1,156,9,48.6
1304047,Kolkata Knight Riders,2,133,4,59.8
1181767,Chennai Super Kings,2,151,4,70.6
1082623,Kings XI Punjab,2,181,9,63.6
1178427,Kolkata Knight Riders,2,185,3,96.0
1422138,Mumbai Indians,1,234,5,115.4
1473455,Rajasthan Royals,1,205,4,103.0
419107,Mumbai Indians,1,212,7,92.2
548313,Kings XI Punjab,2,144,8,46.4
419122,Kolkata Knight Riders,1,155,3,78.0
501222,Royal Challengers Bangalore,2,175,1,100.0
1082608,Kolkata Knight Riders,2,169,6,71.4
1082606,Gujarat Lions,1,176,4,85.6
1136606,Sunrisers Hyderabad,1,179,4,87.4
1082604,Sunrisers Hyderabad,2,155,6,63.0
1181764,Mumbai Indians,2,132,4,59.2
1136620,Sunrisers Hyderabad,1,178,6,76.8
1175365,Kolkata Knight Riders,1,185,8,71.0
1304099,Kolkata Knight Riders,2,101,10,10.6
1359506,Royal Challengers Bangalore,1,189,9,68.4
1304115,Delhi Capitals,1,159,7,60.4
1359513,Kolkata Knight Riders,1,179,7,72.4
1304097,Mumbai Indians,1,177,6,76.2
1359508,Delhi Capitals,1,144,9,41.4
1359497,Rajasthan Royals,2,179,7,72.4
1304089,Gujarat Titans,2,174,4,84.4
1304102,Kolkata Knight Riders,1,165,9,54.0
1178420,Sunrisers Hyderabad,1,160,8,56.0
1082633,Kings XI Punjab,1,138,7,47.8
1175360,Delhi Capitals,1,147,6,58.2
1175360,Chennai Super Kings,2,150,4,70.0
1082648,Kolkata Knight Riders,2,48,3,13.8
1178415,Delhi Capitals,2,193,4,95.8
1473467,Lucknow Super Giants,1,166,7,64.6
1426281,Delhi Capitals,1,257,4,134.2
1426261,Punjab Kings,2,180,6,78.0
598040,Delhi Daredevils,2,137,3,67.2
598071,Sunrisers Hyderabad,1,132,7,44.2
419127,Kings XI Punjab,2,144,6,56.4
419141,Deccan Chargers,2,157,10,44.2
419108,Kings XI Punjab,1,142,9,40.2
548359,Kings XI Punjab,1,170,5,77.0
1136573,Kolkata Knight Riders,1,200,9,75.0
1178401,Delhi Capitals,2,180,3,93.0
1136607,Mumbai Indians,1,168,6,70.8
1304088,Lucknow Super Giants,1,153,8,51.8
1359538,Delhi Capitals,1,213,2,117.8
1304112,Lucknow Super Giants,1,210,0,126.0
1359481,Delhi Capitals,1,162,8,57.2
1359522,Rajasthan Royals,1,118,10,20.8
1304090,Mumbai Indians,2,161,5,71.6
1359525,Lucknow Super Giants,2,171,7,67.6
1178424,Rajasthan Royals,2,41,1,19.6
1181767,Delhi Capitals,1,147,9,43.2
1082632,Delhi Daredevils,2,214,3,113.4
1082623,Sunrisers Hyderabad,1,207,3,109.2
1473456,Lucknow Super Giants,1,238,3,127.8
1426268,Sunrisers Hyderabad,1,287,3,157.2
1473468,Punjab Kings,1,111,10,16.6
1473468,Kolkata Knight Riders,2,95,10,7.0
598037,Mumbai Indians,1,174,3,89.4
598037,Kings XI Punjab,2,170,10,52.0
548346,Deccan Chargers,1,100,10,10.0
1136578,Kolkata Knight Riders,1,191,7,79.6
1082608,Delhi Daredevils,1,168,7,65.8
1178408,Chennai Super Kings,1,132,5,54.2
1178406,Royal Challengers Bangalore,1,171,7,67.6
1178406,Mumbai Indians,2,172,5,78.2
1082626,Delhi Daredevils,1,67,10,-9.8
1136587,Mumbai Indians,2,170,2,92.0
1136607,Rajasthan Royals,2,171,3,87.6
1082636,Kolkata Knight Riders,2,159,4,75.4
1136588,Rajasthan Royals,2,140,6,54.0
1175365,Delhi Capitals,2,195,7,82.0
1304083,Mumbai Indians,2,132,8,39.2
1304073,Delhi Capitals,2,173,7,68.8
1304090,Rajasthan Royals,1,158,6,64.8
1359523,Chennai Super Kings,2,140,4,64.0
1304056,Gujarat Titans,1,171,6,72.6
1178416,Chennai Super Kings,2,176,4,85.6
1136617,Chennai Super Kings,2,140,8,44.0
1136600,Rajasthan Royals,1,158,8,54.8
1178415,Rajasthan Royals,1,191,6,84.6
1473491,Punjab Kings,1,236,5,116.6
1473506,Punjab Kings,2,187,3,97.2
419134,Rajasthan Royals,2,121,10,22.6
501260,Royal Challengers Bangalore,2,121,10,22.6
419117,Kings XI Punjab,2,164,8,58.4
598062,Delhi Daredevils,2,135,9,36.0
598001,Delhi Daredevils,2,160,6,66.0
1136578,Kings XI Punjab,2,126,1,70.6
1082637,Gujarat Lions,2,192,4,95.2
1082650,Mumbai Indians,1,129,8,37.4
1178401,Kolkata Knight Riders,1,178,7,71.8
1359520,Punjab Kings,1,214,3,113.4
1304067,Gujarat Titans,1,162,7,62.2
1359538,Punjab Kings,2,198,8,78.8
1359489,Royal Challengers Bangalore,1,212,2,117.2
1304094,Gujarat Titans,1,143,8,45.8
1304087,Kolkata Knight Riders,1,146,9,42.6
1304087,Delhi Capitals,2,150,6,60.0
1359515,Chennai Super Kings,1,200,4,100.0
1304103,Gujarat Titans,1,144,4,66.4
1304103,Lucknow Super Giants,2,82,10,-0.8
1304047,Chennai Super Kings,1,131,5,53.6
1304102,Mumbai Indians,2,113,10,17.8
1178400,Chennai Super Kings,2,155,6,63.0
1175361,Kings XI Punjab,2,190,4,94.0
1175363,Sunrisers Hyderabad,2,201,5,95.6
1082594,Kings XI Punjab,2,164,4,78.4
1178431,Mumbai Indians,2,134,1,75.4
1426309,Kolkata Knight Riders,2,164,2,88.4
1426288,Rajasthan Royals,2,200,7,85.0
419160,Delhi Daredevils,2,134,7,45.4
548332,Chennai Super Kings,2,147,3,73.2
501212,Kings XI Punjab,2,166,2,89.6
598060,Sunrisers Hyderabad,1,178,3,91.8
1082610,Gujarat Lions,2,192,7,80.2
1304076,Rajasthan Royals,1,217,5,105.2
1304112,Kolkata Knight Riders,2,208,8,84.8
1304074,Punjab Kings,1,151,10,40.6
1359522,Gujarat Titans,2,119,1,66.4
1359531,Mumbai Indians,1,218,5,105.8
1082625,Mumbai Indians,2,164,12,38.4
1473446,Mumbai Indians,2,160,6,66.0
1426283,Gujarat Titans,1,200,3,105.0
1473441,Lucknow Super Giants,1,209,8,85.4
548352,Deccan Chargers,2,150,5,65.0
548344,Royal Challengers Bangalore,2,143,6,55.8
548324,Royal Challengers Bangalore,2,136,10,31.6
598001,Rajasthan Royals,1,165,7,64.0
1136606,Chennai Super Kings,2,180,2,98.0
1082604,Kolkata Knight Riders,1,172,6,73.2
1178408,Sunrisers Hyderabad,2,137,4,62.2
1178402,Mumbai Indians,1,187,5,87.2
1304075,Chennai Super Kings,1,169,5,76.4
1304080,Rajasthan Royals,1,222,2,123.2
1359535,Kolkata Knight Riders,2,147,4,68.2
1359501,Royal Challengers Bangalore,1,174,4,84.4
1304081,Kolkata Knight Riders,2,148,8,48.8
1136617,Sunrisers Hyderabad,1,139,7,48.4
1136564,Rajasthan Royals,1,125,9,30.0
1136613,Rajasthan Royals,1,164,5,73.4
1082597,Mumbai Indians,2,180,6,78.0
1082648,Sunrisers Hyderabad,1,128,7,41.8
1473467,Chennai Super Kings,2,168,5,75.8
1426273,Delhi Capitals,2,199,10,69.4
598071,Rajasthan Royals,2,135,6,51.0
548313,Pune Warriors,1,166,6,69.6
419122,Mumbai Indians,2,156,3,78.6
419141,Rajasthan Royals,1,159,10,45.4
501222,Kolkata Knight Riders,1,171,5,77.6
1136573,Delhi Daredevils,2,129,10,27.4
1178396,Rajasthan Royals,1,139,3,68.4
1136620,Chennai Super Kings,2,181,2,98.6
1304088,Punjab Kings,2,133,8,39.8
1304108,Gujarat Titans,2,137,3,67.2
1304113,Gujarat Titans,1,168,5,75.8
1304113,Royal Challengers Bangalore,2,170,2,92.0
1359535,Chennai Super Kings,1,144,6,56.4
1304107,Kolkata Knight Riders,1,177,6,76.2
1304068,Royal Challengers Bangalore,2,193,9,70.8
1359500,Lucknow Super Giants,1,154,7,57.4
1304073,Royal Challengers Bangalore,1,189,5,88.4
1178426,Mumbai Indians,2,9,0,5.4
1175370,Chennai Super Kings,2,133,8,39.8
1136580,Chennai Super Kings,1,182,3,94.2
1473506,Mumbai Indians,1,184,7,75.4
1422125,Chennai Super Kings,1,206,6,93.6
1422125,Gujarat Titans,2,143,8,45.8
419134,Delhi Daredevils,1,188,6,82.8
419159,Chennai Super Kings,2,195,4,97.0
501260,Kings XI Punjab,1,232,2,129.2
1082646,Delhi Daredevils,2,151,10,40.6
1175369,Royal Challengers Bangalore,1,158,4,74.8
1082636,Royal Challengers Bangalore,1,158,6,64.8
1359520,Mumbai Indians,2,216,4,109.6
1304051,Sunrisers Hyderabad,2,149,7,54.4
1359544,Gujarat Titans,2,198,4,98.8
1359489,Lucknow Super Giants,2,213,9,82.8
1359514,Delhi Capitals,2,188,6,82.8
1359526,Sunrisers Hyderabad,2,217,6,100.2
1136572,Kings XI Punjab,1,197,7,83.2
1178424,Royal Challengers Bangalore,1,62,7,2.2
1178427,Kings XI Punjab,1,183,6,79.8
1136567,Mumbai Indians,1,147,8,48.2
1473478,Mumbai Indians,2,146,3,72.6
1426268,Royal Challengers Bengaluru,2,262,7,122.2
1426296,Punjab Kings,2,181,10,58.6
1426263,Royal Challengers Bengaluru,1,196,8,77.6
1473441,Delhi Capitals,2,211,9,81.6
419160,Deccan Chargers,1,145,7,52.0
548375,Kolkata Knight Riders,1,136,4,61.6
598062,Chennai Super Kings,1,168,4,80.8
419108,Delhi Daredevils,2,146,5,62.6
1178396,Kolkata Knight Riders,2,140,2,74.0
1178428,Rajasthan Royals,1,115,9,24.0
1136585,Kings XI Punjab,2,119,10,21.4
1082612,Mumbai Indians,2,199,2,109.4
1359540,Rajasthan Royals,2,189,6,83.4
1304054,Punjab Kings,1,137,10,32.2
1359500,Rajasthan Royals,2,144,6,56.4
1359497,Gujarat Titans,1,177,7,71.2
1304065,Delhi Capitals,1,215,5,104.0
1304096,Sunrisers Hyderabad,2,186,8,71.6
1359523,Mumbai Indians,1,139,8,43.4
1359490,Delhi Capitals,1,172,10,53.2
1359521,Sunrisers Hyderabad,2,166,8,59.6
1175372,Royal Challengers Bangalore,1,205,3,108.0
1136582,Kings XI Punjab,1,143,8,45.8
1082599,Delhi Daredevils,1,205,4,103.0
1178429,Royal Challengers Bangalore,2,178,6,76.8
1175368,Kings XI Punjab,1,166,9,54.6
1426291,Punjab Kings,2,139,9,38.4
1426312,Sunrisers Hyderabad,1,113,10,17.8
1426264,Lucknow Super Giants,1,167,7,65.2
1426264,Delhi Capitals,2,170,4,82.0
1473484,Rajasthan Royals,2,212,2,117.2
1473509,Gujarat Titans,2,208,6,94.8
1136602,Sunrisers Hyderabad,2,191,1,109.6
1082595,Delhi Daredevils,2,142,9,40.2
1082620,Kolkata Knight Riders,2,184,3,95.4
1473503,Royal Challengers Bengaluru,2,189,10,63.4
1422126,Sunrisers Hyderabad,1,277,3,151.2
1359507,Chennai Super Kings,1,235,4,121.0
1359509,Mumbai Indians,2,152,9,46.2
1359519,Lucknow Super Giants,1,125,7,40.0
1312198,Royal Challengers Bangalore,1,207,4,104.2
1359490,Mumbai Indians,2,173,4,83.8
1370350,Chennai Super Kings,1,172,7,68.2
1136616,Chennai Super Kings,2,159,5,70.4
1473476,Kolkata Knight Riders,2,159,8,55.4
1473451,Royal Challengers Bengaluru,1,169,8,61.4
1485779,Punjab Kings,1,206,8,83.6
1473484,Gujarat Titans,1,209,4,105.4
1473464,Punjab Kings,1,245,6,117.0
1082635,Delhi Daredevils,2,66,10,-10.4
1136569,Delhi Daredevils,2,195,3,102.0
1082640,Gujarat Lions,1,195,5,92.0
1136612,Chennai Super Kings,2,128,6,46.8
1082591,Royal Challengers Bangalore,2,172,10,53.2
1473459,Chennai Super Kings,2,201,5,95.6
1473485,Kolkata Knight Riders,1,204,9,77.4
1473502,Gujarat Titans,2,202,9,76.2
1422126,Mumbai Indians,2,246,5,122.6
1359542,Kolkata Knight Riders,2,175,7,70.0
1359527,Kolkata Knight Riders,2,182,5,84.2
1359498,Royal Challengers Bangalore,2,218,8,90.8
1312199,Royal Challengers Bangalore,1,157,8,54.2
1304059,Royal Challengers Bangalore,2,173,6,73.8
1312198,Lucknow Super Giants,2,193,6,85.8
1359480,Lucknow Super Giants,2,205,7,88.0
1359510,Kolkata Knight Riders,1,200,5,95.0
1304105,Chennai Super Kings,1,97,10,8.2
1304105,Mumbai Indians,2,103,5,36.8
1082616,Gujarat Lions,2,162,7,62.2
1426291,Chennai Super Kings,1,167,9,55.2
1473473,Lucknow Super Giants,1,180,5,83.0
1473501,Delhi Capitals,2,121,10,22.6
1473465,Rajasthan Royals,1,173,4,83.8
1473465,Royal Challengers Bengaluru,2,175,1,100.0
1473439,Sunrisers Hyderabad,1,286,6,141.6
1473439,Rajasthan Royals,2,242,6,115.2
1136602,Delhi Daredevils,1,187,5,87.2
1136608,Kings XI Punjab,1,88,10,2.8
1082640,Delhi Daredevils,2,197,8,78.2
1136612,Delhi Daredevils,1,162,5,72.2
1136590,Chennai Super Kings,1,211,4,106.6
1359485,Delhi Capitals,2,142,9,40.2
1359533,Delhi Capitals,2,136,8,41.6
1359498,Chennai Super Kings,1,226,6,105.6
1359478,Sunrisers Hyderabad,2,131,8,38.6
1304079,Mumbai Indians,1,155,7,58.0
1304059,Rajasthan Royals,1,169,3,86.4
1359529,Delhi Capitals,2,140,8,44.0
1082611,Delhi Daredevils,2,176,5,80.6
1136603,Chennai Super Kings,1,176,4,85.6
1082602,Mumbai Indians,2,145,6,57.0
1082646,Royal Challengers Bangalore,1,161,6,66.6
1426292,Lucknow Super Giants,2,137,10,32.2
1485779,Delhi Capitals,2,208,4,104.8
1422120,Punjab Kings,2,177,6,76.2
1473460,Gujarat Titans,1,217,6,100.2
1136610,Kings XI Punjab,2,183,5,84.8
1082593,Gujarat Lions,1,183,4,89.8
1082593,Kolkata Knight Riders,2,184,0,110.4
1082631,Kolkata Knight Riders,1,155,8,53.0
1426271,Punjab Kings,2,183,10,59.8
1359485,Rajasthan Royals,1,199,4,99.4
1359533,Punjab Kings,1,167,7,65.2
1359484,Lucknow Super Giants,2,127,5,51.2
1312200,Rajasthan Royals,1,130,9,33.0
1304106,Royal Challengers Bangalore,2,155,9,48.0
1359504,Gujarat Titans,1,135,6,51.0
1304066,Lucknow Super Giants,2,162,8,57.2
1359478,Rajasthan Royals,1,203,5,96.8
1359539,Sunrisers Hyderabad,1,186,5,86.6
1359539,Royal Challengers Bangalore,2,187,2,102.2
1304072,Mumbai Indians,2,181,9,63.6
1304104,Delhi Capitals,2,161,2,86.6
1359505,Punjab Kings,1,214,8,88.4
1359494,Delhi Capitals,2,151,9,45.6
1082598,Kings XI Punjab,2,150,2,80.0
1136592,Rajasthan Royals,2,146,5,62.6
1178429,Sunrisers Hyderabad,1,175,7,70.0
1473471,Punjab Kings,2,98,5,33.8
1136579,Delhi Daredevils,1,174,5,79.4
1082622,Kolkata Knight Riders,2,161,3,81.6
1082595,Royal Challengers Bangalore,1,157,8,54.2
1178409,Mumbai Indians,1,168,5,75.8
1136576,Sunrisers Hyderabad,2,178,5,81.8
1082631,Rising Pune Supergiant,2,158,6,64.8
1426310,Rajasthan Royals,2,174,6,74.4
1426266,Kolkata Knight Riders,2,162,2,87.2
1304091,Lucknow Super Giants,1,195,3,102.0
1304093,Rajasthan Royals,1,152,5,66.2
1312199,Rajasthan Royals,2,161,3,81.6
1304062,Punjab Kings,1,189,9,68.4
1359521,Kolkata Knight Riders,1,171,9,57.6
1136581,Mumbai Indians,1,167,7,65.2
1136614,Kolkata Knight Riders,2,173,5,78.8
1082616,Kings XI Punjab,1,188,7,77.8
1426265,Punjab Kings,1,147,8,48.2
1473442,Punjab Kings,1,243,5,120.8
1473448,Chennai Super Kings,2,176,6,75.6
1473509,Mumbai Indians,1,228,5,111.8
1136593,Chennai Super Kings,1,177,5,81.2
1175359,Kings XI Punjab,1,184,4,90.4
1178397,Sunrisers Hyderabad,1,150,4,70.0
1178409,Delhi Capitals,2,128,9,31.8
1473505,Sunrisers Hyderabad,1,278,3,151.8
1473488,Gujarat Titans,1,224,6,104.4
1426298,Mumbai Indians,2,139,8,43.4
1312200,Gujarat Titans,2,133,3,64.8
1304053,Chennai Super Kings,1,210,7,91.0
1304064,Mumbai Indians,1,151,6,60.6
1304104,Rajasthan Royals,1,160,6,66.0
1359529,Chennai Super Kings,1,167,8,60.2
1359494,Royal Challengers Bangalore,1,174,6,74.4
1175356,Chennai Super Kings,2,71,3,27.6
1136582,Delhi Daredevils,2,139,8,43.4
1082600,Sunrisers Hyderabad,1,158,8,54.8
1082599,Rising Pune Supergiant,2,108,10,14.8
1473490,Kolkata Knight Riders,1,206,4,103.6
1473501,Mumbai Indians,1,180,5,83.0
1473471,Royal Challengers Bengaluru,1,95,9,12.0
1473448,Rajasthan Royals,1,182,9,64.2
1136589,Royal Challengers Bangalore,1,175,4,85.0
1426260,Kolkata Knight Riders,1,137,9,37.2
1426298,Kolkata Knight Riders,1,157,7,59.2
1426303,Rajasthan Royals,1,144,9,41.4
1473511,Punjab Kings,2,184,7,75.4
1426279,Sunrisers Hyderabad,2,171,8,62.6
1426274,Kolkata Knight Riders,1,222,6,103.2
1304064,Royal Challengers Bangalore,2,152,3,76.2
1304058,Lucknow Super Giants,1,169,7,66.4
1304085,Royal Challengers Bangalore,2,115,10,19.0
1359510,Royal Challengers Bangalore,2,179,8,67.4
1304062,Gujarat Titans,2,190,4,94.0
1359505,Mumbai Indians,2,201,6,90.6
1359537,Lucknow Super Giants,1,177,4,86.2
1175372,Kolkata Knight Riders,2,206,5,98.6
1082598,Royal Challengers Bangalore,1,148,4,68.8
1136575,Rajasthan Royals,1,160,8,56.0
1136603,Rajasthan Royals,2,177,6,76.2
1178423,Kings XI Punjab,2,167,8,60.2
1136619,Sunrisers Hyderabad,1,174,7,69.4
1426312,Kolkata Knight Riders,2,114,2,58.4
1473449,Kolkata Knight Riders,1,116,10,19.6
1426284,Chennai Super Kings,1,212,3,112.2
1426284,Sunrisers Hyderabad,2,134,10,30.4
1082622,Delhi Daredevils,1,160,6,66.0
1082620,Rising Pune Supergiant,1,182,5,84.2
1136590,Delhi Daredevils,2,198,5,93.8
1426260,Chennai Super Kings,2,141,3,69.6
1426279,Royal Challengers Bengaluru,1,206,7,88.6
1422127,Delhi Capitals,2,173,5,78.8
1359542,Lucknow Super Giants,1,176,8,65.6
1359484,Sunrisers Hyderabad,1,121,8,32.6
1304093,Kolkata Knight Riders,2,158,3,79.8
1304085,Rajasthan Royals,1,144,8,46.4
1136581,Rajasthan Royals,2,168,7,65.8
1136616,Kings XI Punjab,1,153,10,41.8
1136575,Kolkata Knight Riders,2,163,3,82.8
1082602,Royal Challengers Bangalore,1,142,5,60.2
1178405,Delhi Capitals,1,155,7,58.0
1136566,Rajasthan Royals,1,153,5,66.8
1136619,Kolkata Knight Riders,2,160,9,51.0
1426300,Delhi Capitals,2,140,10,34.0
1426280,Punjab Kings,2,262,2,147.2
1473443,Kolkata Knight Riders,2,153,2,81.8
1082642,Rising Pune Supergiant,2,161,7,61.6
1136569,Mumbai Indians,1,194,7,81.4
1175362,Royal Challengers Bangalore,2,181,5,83.6
1426310,Royal Challengers Bengaluru,1,172,8,63.2
