Batter,TotalRuns,BallsFaced,StrikeRate
L Wood,9,3,300.0
KT Maphaka,8,3,266.67
B Stanlake,5,2,250.0
J Overton,15,7,214.29
Umar Gul,39,19,205.26
RS Sodhi,4,2,200.0
Urvil Patel,68,34,200.0
R Shepherd,185,93,198.92
V Suryavanshi,252,129,195.35
J Fraser-McGurk,385,203,189.66
